timestamp,tag_id,x_pos,y_pos,heading,direction,energy,speed,total_distance
05:13.9,10,39.3833,31.7505,1.05143,-2.80768,334.391,1.20816,334.987
05:13.9,16,35.3014,47.5268,1.84688,0,259.191,0,299.465
05:13.9,12,34.6432,38.2899,1.92971,-3.0303,249.792,0.372329,239.888
05:13.9,3,71.1769,71.8776,-2.19827,0,1.24455,0,2.89645
05:13.9,13,34.4548,22.7804,0.177239,-0.501874,181.721,1.78734,236.001
05:13.9,8,53.0805,42.1703,2.54646,-0.242947,165.124,1.49376,287.941
05:13.9,15,42.5671,42.58,0.385965,-0.0059594,145.702,0.128024,205.182
05:13.9,2,35.0632,28.7866,-1.8183,-3.12223,143.086,2.34121,204.884
05:13.9,7,42.0446,50.0202,1.72875,1.78451,155.175,1.0986,380.551
05:13.9,6,47.2846,19.344,2.16117,-3.07629,243.355,0.972761,278.789
05:13.9,11,43.988,28.9389,2.22423,1.4779,253.985,0.518134,275.079
05:13.9,10,39.3641,31.6989,0.932419,-2.77903,334.572,1.06266,335.042
05:14.0,16,35.3014,47.5268,1.8523,0,259.191,0,299.465
05:14.0,12,34.6412,38.2741,1.89764,-3.01057,249.8,0.303659,239.904
05:14.0,3,71.1769,71.8776,-2.1989,0,1.24455,0,2.89645
05:14.0,13,34.4195,22.8597,0.185151,-0.391639,181.726,1.72054,236.087
05:14.0,8,53.0612,42.2469,2.5552,-0.248955,165.139,1.61016,288.02
05:14.0,15,42.5676,42.5872,0.386809,0.0945187,145.705,0.15036,205.19
05:14.0,2,35.0611,28.6704,-1.81266,-3.12472,143.099,2.31509,205
05:14.0,7,42.1004,50.006,1.71757,1.83069,155.177,1.17092,380.609
05:14.0,6,47.2811,19.2942,2.16086,-3.06804,243.358,1.00499,278.839
05:14.0,11,44.0155,28.9393,2.18951,1.58006,254.034,0.559869,275.107
05:14.0,10,39.3462,31.6553,0.895985,-2.73956,334.966,0.901583,335.089
05:14.0,16,35.3014,47.5268,1.85313,0,259.191,0,299.465
05:14.0,12,34.6396,38.2615,1.87041,-3.00977,249.817,0.235657,239.917
05:14.0,3,71.1769,71.8776,-2.19951,0,1.24455,0,2.89645
05:14.0,13,34.3946,22.9392,0.202501,-0.271551,181.728,1.64918,236.171
05:14.0,8,53.0398,42.329,2.56153,-0.257702,165.162,1.7249,288.105
05:14.0,15,42.5687,42.5958,0.405142,0.130893,145.709,0.182377,205.198
05:14.0,2,35.0596,28.5568,-1.81474,-3.12894,143.12,2.25551,205.114
05:14.0,7,42.159,49.9885,1.70926,1.87075,155.178,1.23734,380.67
05:14.0,6,47.2769,19.2434,2.16201,-3.05859,243.36,1.02334,278.89
05:14.0,11,44.0447,28.9374,2.16462,1.65558,254.107,0.592797,275.136
05:14.0,10,39.3296,31.6201,0.952988,-2.68712,335.161,0.736197,335.128
05:14.1,16,35.3014,47.5268,1.84861,0,259.192,0,299.465
05:14.1,12,34.6385,38.2522,1.85218,-3.03412,249.839,0.169281,239.926
05:14.1,3,71.1769,71.8776,-2.20011,0,1.24455,0,2.89645
05:14.1,13,34.3812,23.0184,0.215843,-0.132058,181.729,1.59339,236.251
05:14.1,8,53.0158,42.4162,2.56177,-0.271477,165.182,1.83398,288.195
05:14.1,15,42.5703,42.6061,0.440583,0.15079,145.711,0.21839,205.209
05:14.1,2,35.0584,28.4471,-1.82566,-3.13217,143.143,2.17089,205.223
05:14.1,7,42.2196,49.9682,1.70354,1.90162,155.179,1.29182,380.734
05:14.1,6,47.2723,19.1921,2.16416,-3.04731,243.362,1.03249,278.941
05:14.1,11,44.0748,28.9331,2.14118,1.72749,254.15,0.61406,275.167
05:14.1,10,39.3147,31.5931,1.0156,-2.6155,335.249,0.577954,335.158
05:14.1,16,35.3014,47.5268,1.83915,0,259.193,0,299.465
05:14.1,12,34.6381,38.2467,1.8325,-3.11685,249.88,0.0924966,239.932
05:14.1,3,71.1769,71.8776,-2.20069,0,1.24455,0,2.89645
05:14.1,13,34.3793,23.096,0.219922,0.0130705,181.729,1.54104,236.329
05:14.1,8,52.9892,42.5079,2.55497,-0.285616,165.199,1.93667,288.291
05:14.1,15,42.5723,42.6184,0.468227,0.162798,145.712,0.256071,205.221
05:14.1,2,35.0578,28.3425,-1.82995,-3.13612,143.171,2.06241,205.328
05:14.1,7,42.2819,49.9454,1.69899,1.92808,155.179,1.33768,380.8
05:14.1,6,47.267,19.1405,2.1668,-3.03877,243.365,1.03912,278.993
05:14.1,11,44.1052,28.9267,2.10596,1.79599,254.173,0.621153,275.198
05:14.1,10,39.3016,31.5742,0.992968,-2.5026,335.352,0.420109,335.181
05:14.2,16,35.3014,47.5268,1.83013,0,259.195,0,299.465
05:14.2,12,34.6387,38.2447,1.81088,2.57367,249.909,0.0295032,239.934
05:14.2,3,71.1769,71.8776,-2.20125,0,1.24455,0,2.89645
05:14.2,13,34.3888,23.1707,0.213008,0.164981,181.729,1.49769,236.404
05:14.2,8,52.9597,42.6042,2.53956,-0.301979,165.212,2.04042,288.391
05:14.2,15,42.5745,42.6324,0.479783,0.154228,145.714,0.294017,205.235
05:14.2,2,35.0577,28.2444,-1.82632,3.14088,143.192,1.92833,205.426
05:14.2,7,42.3453,49.9203,1.69505,1.95283,155.18,1.37113,380.868
05:14.2,6,47.2614,19.089,2.16947,-3.0299,243.367,1.03359,279.045
05:14.2,11,44.135,28.9183,2.06222,1.86176,254.194,0.618336,275.229
05:14.2,10,39.2904,31.5632,0.913026,-2.27754,335.678,0.281508,335.197
05:14.2,16,35.3014,47.5268,1.82768,0,259.197,0,299.465
05:14.2,12,34.6401,38.2457,1.79247,0.755104,249.927,0.0498708,239.936
05:14.2,3,71.1769,71.8776,-2.20168,0,1.24455,0,2.89645
05:14.2,13,34.4093,23.2417,0.203419,0.321996,181.73,1.47496,236.478
05:14.2,8,52.9269,42.7046,2.52703,-0.320371,165.22,2.13436,288.497
05:14.2,15,42.5767,42.6482,0.481019,0.137416,145.716,0.327489,205.251
05:14.2,2,35.0583,28.1542,-1.82562,3.13224,143.217,1.76285,205.516
05:14.2,7,42.4094,49.8936,1.69227,1.96861,155.18,1.39196,380.938
05:14.2,6,47.2584,19.0635,2.17208,0,243.371,0,279.071
05:14.2,11,44.1637,28.9083,2.01931,1.92185,254.212,0.601895,275.259
05:14.2,10,39.2812,31.5594,0.877201,-1.8025,335.777,0.178413,335.207
05:14.3,16,35.3014,47.5268,1.83648,0,259.2,0,299.465
05:14.3,12,34.6426,38.2498,1.77614,0.53103,249.956,0.111483,239.94
05:14.3,3,71.1769,71.8776,-2.20204,0,1.24455,0,2.89645
05:14.3,13,34.4406,23.3082,0.19595,0.478915,181.734,1.47053,236.552
05:14.3,8,52.8909,42.8084,2.51305,-0.337947,165.225,2.21967,288.607
05:14.3,15,42.579,42.6656,0.467733,0.130549,145.718,0.357504,205.269
05:14.3,2,35.0596,28.0722,-1.81736,3.12419,143.242,1.59608,205.598
05:14.3,7,42.4736,49.866,1.68897,1.97829,155.181,1.40071,381.008
05:14.3,6,47.2584,19.0635,2.17482,0,243.377,0,279.071
05:14.3,11,44.1903,28.8967,1.97725,2.00495,254.216,0.576225,275.288
05:14.3,10,39.2741,31.5625,0.87753,-0.949843,336.071,0.163784,335.215
05:14.3,16,35.3014,47.5268,1.85524,0,259.201,0,299.465
05:14.3,12,34.6463,38.2562,1.7535,0.5116,249.987,0.158019,239.948
05:14.3,3,71.1769,71.8776,-2.20235,0,1.24455,0,2.89645
05:14.3,13,34.4816,23.3692,0.186575,0.629307,181.74,1.47277,236.625
05:14.3,8,52.8515,42.9156,2.49275,-0.35643,165.226,2.30458,288.721
05:14.3,15,42.5812,42.6842,0.443862,0.112961,145.722,0.380385,205.288
05:14.3,2,35.0618,27.9994,-1.80248,3.10772,143.261,1.41026,205.671
05:14.3,7,42.5375,49.8382,1.6837,1.98185,155.186,1.38889,381.077
05:14.3,6,47.2584,19.0635,2.17754,0,243.382,0,279.071
05:14.3,11,44.2144,28.8834,1.93349,2.09777,254.217,0.540208,275.316
05:14.3,10,39.2689,31.572,0.919136,-0.405811,336.839,0.239648,335.226
05:14.4,16,35.3014,47.5268,1.87874,0,259.204,0,299.465
05:14.4,12,34.6511,38.2645,1.73381,0.53555,250.025,0.204222,239.957
05:14.4,3,71.1769,71.8776,-2.20258,0,1.24455,0,2.89645
05:14.4,13,34.5318,23.4248,0.16997,0.768112,181.75,1.50748,236.7
05:14.4,8,52.8087,43.0258,2.47955,-0.374489,165.228,2.38269,288.839
05:14.4,15,42.5832,42.7035,0.420758,0.097036,145.738,0.392165,205.307
05:14.4,2,35.0647,27.9362,-1.79105,3.09117,143.272,1.21699,205.735
05:14.4,7,42.6004,49.8107,1.68245,1.98389,155.2,1.3653,381.146
05:14.4,6,47.2584,19.0635,2.18002,0,243.388,0,279.071
05:14.4,11,44.2356,28.8692,1.90664,2.18252,254.219,0.500451,275.341
05:14.4,10,39.2655,31.5871,0.962672,-0.17789,336.981,0.333712,335.242
05:14.4,16,35.3014,47.5268,1.90407,0,259.206,0,299.465
05:14.4,12,34.6571,38.2742,1.71828,0.55716,250.04,0.236048,239.969
05:14.4,3,71.1769,71.8776,-2.2027,0,1.24455,0,2.89645
05:14.4,13,34.5901,23.4739,0.148572,0.904093,181.758,1.52983,236.776
05:14.4,8,52.7628,43.1383,2.475,-0.391398,165.236,2.44553,288.961
05:14.4,15,42.585,42.7232,0.410403,0.0848772,145.749,0.39418,205.327
05:14.4,2,35.0683,27.8828,-1.78433,3.06575,143.279,1.021,205.788
05:14.4,7,42.6618,49.7839,1.68918,1.98013,155.211,1.32997,381.213
05:14.4,6,47.2584,19.0635,2.18235,0,243.394,0,279.071
05:14.4,11,44.2536,28.8544,1.90004,2.28997,254.238,0.454104,275.365
05:14.4,10,39.2636,31.6074,0.92511,-0.0714081,337.204,0.432009,335.262
05:14.5,16,35.3014,47.5268,1.92759,0,259.209,0,299.465
05:14.5,12,34.6642,38.2851,1.70099,0.587682,250.055,0.264205,239.982
05:14.5,3,71.1769,71.8776,-2.20282,0,1.24455,0,2.89645
05:14.5,13,34.6548,23.5157,0.128101,1.0268,181.766,1.54648,236.853
05:14.5,8,52.714,43.2527,2.487,-0.407463,165.242,2.50089,289.085
05:14.5,15,42.5865,42.7424,0.400655,0.0748998,145.754,0.381318,205.346
05:14.5,2,35.0727,27.8395,-1.7809,3.02785,143.282,0.818737,205.832
05:14.5,7,42.7212,49.7583,1.6974,1.97713,155.221,1.28057,381.278
05:14.5,6,47.2584,19.0635,2.18489,0,243.4,0,279.071
05:14.5,11,44.2679,28.8389,1.88682,2.43804,254.269,0.411111,275.386
05:14.5,10,39.263,31.6324,0.879542,-0.00850295,338.09,0.52042,335.287
05:14.5,16,35.3014,47.5268,1.94171,0,259.212,0,299.465
05:14.5,12,34.6723,38.2956,1.69018,0.673309,250.069,0.266232,239.995
05:14.5,3,71.1769,71.8776,-2.20281,0,1.24455,0,2.89645
05:14.5,13,34.7247,23.5502,0.109492,1.13856,181.776,1.56465,236.931
05:14.5,8,52.6626,43.368,2.50442,-0.422744,165.249,2.53319,289.212
05:14.5,15,42.5876,42.7606,0.371291,0.0576122,145.758,0.3604,205.364
05:14.5,2,35.0779,27.8065,-1.77715,2.97064,143.285,0.620696,205.865
05:14.5,7,42.7781,49.7345,1.69468,1.96263,155.231,1.21828,381.339
05:14.5,6,47.2584,19.0635,2.18742,0,243.404,0,279.071
05:14.5,11,44.2783,28.8231,1.86417,2.59836,254.316,0.366925,275.405
05:14.5,10,39.2637,31.6612,0.894719,0.0324127,338.308,0.593268,335.316
05:14.6,16,35.3014,47.5268,1.94411,0,259.214,0,299.465
